,opcode,mnemonic,arg,bytes,cycles,flags,variant
0,$00,BRK,impl,2,7,---I--,
1,$01,ORA,"(a8,X)",2,6,NZ----,
2,$02,NOP,impl,2,2,------,X
3,$03,NOP,impl,1,1,------,X
4,$04,TSB,a8,2,5,-Z----,65C02
5,$05,ORA,a8,2,3,NZ----,
6,$06,ASL,a8,2,5,NZC---,
7,$07,RMB0,a8,2,5,------,R65C02
8,$08,PHP,impl,1,3,------,
9,$09,ORA,#d8,2,2,NZ----,
10,$0a,ASL,A,1,2,NZC---,
11,$0b,NOP,impl,1,1,------,X
12,$0c,TSB,a16,3,6,-Z----,65C02
13,$0d,ORA,a16,3,4,NZ----,
14,$0e,ASL,a16,3,6,NZC---,
15,$0f,BBR0,"a8,r8",3,5+,------,R65C02
16,$10,BPL,r8,2,3+/2,------,
17,$11,ORA,"(a8),Y",2,5+,NZ----,
18,$12,ORA,(a8),2,5,NZ----,65C02
19,$13,NOP,impl,1,1,------,X
20,$14,TRB,a8,2,5,-Z----,65C02
21,$15,ORA,"a8,X",2,4,NZ----,
22,$16,ASL,"a8,X",2,6,NZC---,
23,$17,RMB1,a8,2,5,------,R65C02
24,$18,CLC,impl,1,2,--C---,
25,$19,ORA,"a16,Y",3,4+,NZ----,
26,$1a,INC,A,1,2,NZ----,65C02
27,$1b,NOP,impl,1,1,------,X
28,$1c,TRB,a16,3,6,-Z----,65C02
29,$1d,ORA,"a16,X",3,4+,NZ----,
30,$1e,ASL,"a16,X",3,7,NZC---,
31,$1f,BBR1,"a8,r8",3,5+,------,R65C02
32,$20,JSR,a16,3,6,------,
33,$21,AND,"(a8,X)",2,6,NZ----,
34,$22,NOP,impl,2,2,------,X
35,$23,NOP,impl,1,1,------,X
36,$24,BIT,a8,2,3,NZ---V,
37,$25,AND,a8,2,3,NZ----,
38,$26,ROL,a8,2,5,NZC---,
39,$27,RMB2,a8,2,5,------,R65C02
40,$28,PLP,impl,1,4,NZCIDV,
41,$29,AND,#d8,2,2,NZ----,
42,$2a,ROL,A,1,2,NZC---,
43,$2b,NOP,impl,1,1,------,X
44,$2c,BIT,a16,3,4,NZ---V,
45,$2d,AND,a16,3,4,NZ----,
46,$2e,ROL,a16,3,6,NZC---,
47,$2f,BBR2,"a8,r8",3,5+,------,R65C02
48,$30,BMI,r8,2,3+/2,------,
49,$31,AND,"(a8),Y",2,5+,NZ----,
50,$32,AND,(a8),2,5,NZ----,65C02
51,$33,NOP,impl,1,1,------,X
52,$34,BIT,"a8,X",2,4,NZ---V,65C02
53,$35,AND,"a8,X",2,4,NZ----,
54,$36,ROL,"a8,X",2,6,NZC---,
55,$37,RMB3,a8,2,5,------,R65C02
56,$38,SEC,impl,1,2,--C---,
57,$39,AND,"a16,Y",3,4+,NZ----,
58,$3a,DEC,A,1,2,NZ----,65C02
59,$3b,NOP,impl,1,1,------,X
60,$3c,BIT,"a16,X",3,4+,NZ---V,65C02
61,$3d,AND,"a16,X",3,4+,NZ----,
62,$3e,ROL,"a16,X",3,7,NZC---,
63,$3f,BBR3,"a8,r8",3,5+,------,R65C02
64,$40,RTI,impl,1,6,NZCIDV,
65,$41,EOR,"(a8,X)",2,6,NZ----,
66,$42,NOP,impl,2,2,------,X
67,$43,NOP,impl,1,1,------,X
68,$44,NOP,impl,2,3,------,X
69,$45,EOR,a8,2,3,NZ----,
70,$46,LSR,a8,2,5,NZC---,
71,$47,RMB4,a8,2,5,------,R65C02
72,$48,PHA,impl,1,3,------,
73,$49,EOR,#d8,2,2,NZ----,
74,$4a,LSR,A,1,2,NZC---,
75,$4b,NOP,impl,1,1,------,X
76,$4c,JMP,a16,3,3,------,
77,$4d,EOR,a16,3,4,NZ----,
78,$4e,LSR,a16,3,6,NZC---,
79,$4f,BBR4,"a8,r8",3,5+,------,R65C02
80,$50,BVC,r8,2,3+/2,------,
81,$51,EOR,"(a8),Y",2,5+,NZ----,
82,$52,EOR,(a8),2,5,NZ----,65C02
83,$53,NOP,impl,1,1,------,X
84,$54,NOP,impl,2,4,------,X
85,$55,EOR,"a8,X",2,4,NZ----,
86,$56,LSR,"a8,X",2,6,NZC---,
87,$57,RMB5,a8,2,5,------,R65C02
88,$58,CLI,impl,1,2,---I--,
89,$59,EOR,"a16,Y",3,4+,NZ----,
90,$5A,PHY,impl,1,3,------,65C02
91,$5b,NOP,impl,1,1,------,X
92,$5c,NOP,impl,3,8,------,X
93,$5d,EOR,"a16,X",3,4+,NZ----,
94,$5e,LSR,"a16,X",3,7,NZC---,
95,$5f,BBR5,"a8,r8",3,5+,------,R65C02
96,$60,RTS,impl,1,6,------,
97,$61,ADC,"(a8,X)",2,6,NZC--V,
98,$62,NOP,impl,2,2,------,X
99,$63,NOP,impl,1,1,------,X
100,$64,STZ,a8,2,3,------,65C02
101,$65,ADC,a8,2,3,NZC--V,
102,$66,ROR,a8,2,5,NZC---,
103,$67,RMB6,a8,2,5,------,R65C02
104,$68,PLA,impl,1,4,NZ----,
105,$69,ADC,#d8,2,2,NZC--V,
106,$6a,ROR,A,1,2,NZC---,
107,$6b,NOP,impl,1,1,------,X
108,$6c,JMP,(a16),3,5,------,
109,$6d,ADC,a16,3,4,NZC--V,
110,$6e,ROR,a16,3,6,NZC---,
111,$6f,BBR6,"a8,r8",3,5+,------,R65C02
112,$70,BVS,r8,2,3+/2,------,
113,$71,ADC,"(a8),Y",2,5+,NZC--V,
114,$72,ADC,(a8),2,5+,NZC--V,65C02
115,$73,NOP,impl,1,1,------,X
116,$74,STZ,"a8,X",2,4,------,65C02
117,$75,ADC,"a8,X",2,4,NZC--V,
118,$76,ROR,"a8,X",2,6,NZC---,
119,$77,RMB7,a8,2,5,------,R65C02
120,$78,SEI,impl,1,2,---I--,
121,$79,ADC,"a16,Y",3,4+,NZC--V,
122,$7a,PLY,impl,1,4,NZ----,65C02
123,$7b,NOP,impl,1,1,------,X
124,$7c,JMP,"(a16,X)",3,6,------,65C02
125,$7d,ADC,"a16,X",3,4+,NZC--V,
126,$7e,ROR,"a16,X",3,7,NZC---,
127,$7f,BBR7,"a8,r8",3,5+,------,R65C02
128,$80,BRA,r8,2,3+,------,65C02
129,$81,STA,"(a8,X)",2,6,------,
130,$82,NOP,impl,2,2,------,X
131,$83,NOP,impl,1,1,------,X
132,$84,STY,a8,2,3,------,
133,$85,STA,a8,2,3,------,
134,$86,STX,a8,2,3,------,
135,$87,SMB0,a8,2,5,------,R65C02
136,$88,DEY,impl,1,2,NZ----,
137,$89,BIT,#d8,2,2,-Z----,65C02
138,$8a,TXA,impl,1,2,NZ----,
139,$8b,NOP,impl,1,1,------,X
140,$8c,STY,a16,3,4,------,
141,$8d,STA,a16,3,4,------,
142,$8e,STX,a16,3,4,------,
143,$8f,BBS0,"a8,r8",3,5+,------,R65C02
144,$90,BCC,r8,2,3+/2,------,
145,$91,STA,"(a8),Y",2,6,------,
146,$92,STA,(a8),2,5,------,65C02
147,$93,NOP,impl,1,1,------,X
148,$94,STY,"a8,X",2,4,------,
149,$95,STA,"a8,X",2,4,------,
150,$96,STX,"a8,Y",2,4,------,
151,$97,SMB1,a8,2,5,------,R65C02
152,$98,TYA,impl,1,2,NZ----,
153,$99,STA,"a16,Y",3,5,------,
154,$9a,TXS,impl,1,2,------,
155,$9b,NOP,impl,1,1,------,X
156,$9c,STZ,a16,3,4,------,65C02
157,$9d,STA,"a16,X",3,5,------,
158,$9e,STZ,"a16,X",3,5,------,65C02
159,$9f,BBS1,"a8,r8",3,5+,------,R65C02
160,$a0,LDY,#d8,2,2,NZ----,
161,$a1,LDA,"(a8,X)",2,6,NZ----,
162,$a2,LDX,#d8,2,2,NZ----,
163,$a3,NOP,impl,1,1,------,X
164,$a4,LDY,a8,2,3,NZ----,
165,$a5,LDA,a8,2,3,NZ----,
166,$a6,LDX,a8,2,3,NZ----,
167,$a7,SMB2,a8,2,5,------,R65C02
168,$a8,TAY,impl,1,2,NZ----,
169,$a9,LDA,#d8,2,2,NZ----,
170,$aa,TAX,impl,1,2,NZ----,
171,$ab,NOP,impl,1,1,------,X
172,$ac,LDY,a16,3,4,NZ----,
173,$ad,LDA,a16,3,4,NZ----,
